"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort","first_non_na"
"52",3159,"A_28",NA,"E169_23","EG3159","CL865_24","E018_M","13/12/2023","10/1/2024",NA,"ALIVE",0,"",3,"F",1,6,1,0,"SW","","Hot","Control",1
"53",2967,"B_23",NA,"E621_23","EG2967","CL817_24","E018_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",4,"G",1,7,1,0,"S","","Cold","CORT",1
"54",3198,"B_28",NA,"E765_23","EG3198","CL874_24","E040_F120","15/12/2023","15/1/2024",NA,"ALIVE",0,"",4,"H",1,8,1,0,"S","","Hot","CORT",1
"55",3178,"A_28",NA,"E779_23","EG3178","CL869_24","E053_F120","15/12/2023","12/1/2024",NA,"ALIVE",0,"",2,"I",1,9,1,0,"NW","","Hot","Control",1
"56",3157,"B_28",NA,"E701_23","EG3157","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",3,"I",1,9,1,0,"SW","","Hot","CORT",1
"57",3078,"A_23",NA,"E201_23","EG3078","CL846_24","E050_F120","8/12/2023","24/1/2024",NA,"ALIVE",0,"",1,"K",1,11,1,0,"SE","","Cold","Control",1
"58",2958,"B_23",NA,"E493_23","EG2958","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",2,"K",1,11,1,0,"NW","","Cold","CORT",1
"59",3155,"B_23",NA,"E368_23","EG3155","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",1,"M",1,13,1,0,"SE","","Cold","CORT",1
"60",2851,"B_23",NA,"E667_23","EG2851","CL786_24","E004_F120","24/11/2023","17/1/2024",NA,"ALIVE",0,"",4,"N",1,14,1,0,"S","","Cold","CORT",1
"61",2993,"B_28",NA,"E569_23","EG2993","CL822_24","E051_F120","4/12/2023","5/1/2024",NA,"ALIVE",0,"",2,"P",1,16,1,0,"NW","","Hot","CORT",1
"62",2995,"B_23",NA,"E1102_23","EG2995","CL822_24","E051_F120","4/12/2023","24/1/2024",NA,"ALIVE",0,"Dented",3,"R",1,18,1,0,"SW","","Cold","CORT",1
"63",3158,"B_23",NA,"E3001_23","EG3158","CL865_24","E018_M","13/12/2023","28/1/2024",NA,"ALIVE",0,"",2,"A",1,20,1,0,"NW","","Cold","CORT",1
"64",2959,"A_23",NA,"E1023_23","EG2959","CL815_24","E017_M, E007_M","1/12/2023","19/1/2024",NA,"ALIVE",0,"Might be two clutches.",4,"A",1,20,1,0,"S","","Cold","Control",1
"65",2997,"A_28",NA,"E510_23","EG2997","CL822_24","E051_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"Dented",4,"D",1,17,1,0,"S","","Hot","Control",1
"66",3098,"A_28",NA,"E185_23","EG3098","CL850_24","E028_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",4,"E",1,16,1,0,"S","","Hot","Control",1
"67",3014,"A_28",NA,"E0154_23","EG3014","CL827_24","E019_M","4/12/2023","3/1/2024",NA,"ALIVE",0,"",4,"F",1,15,1,0,"S","","Hot","Control",1
"68",3009,"A_23",NA,"E1024_23","EG3009","CL825_24","E011_M/E024_M","4/12/2023","19/1/2024",NA,"ALIVE",0,"",3,"G",1,14,1,0,"SW","","Cold","Control",1
"69",2925,"B_28",NA,"E884_23","EG2925","CL807_24","E011_M/E024_M","29/11/2023","1/1/2024",NA,"ALIVE",0,"",1,"H",1,13,1,0,"SE","","Hot","CORT",1
"70",3178,"A_28",NA,"E779_23","EG3178","CL869_24","E053_F120","15/12/2023","12/1/2024",NA,"ALIVE",0,"",2,"I",1,12,1,0,"NW","","Hot","Control",1
"71",3201,"A_28",NA,"E604_23","EG3201","CL874_24","E040_F120","15/12/2023","12/1/2024",NA,"ALIVE",0,"",3,"J",1,11,1,0,"SW","","Hot","Control",1
"72",2958,"B_23",NA,"E493_23","EG2958","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",2,"K",1,10,1,0,"NW","","Cold","CORT",1
"73",2952,"A_23",NA,"E1026_23","EG2952","CL813_24","E036_F120","1/12/2023","19/1/2024",NA,"ALIVE",0,"",3,"L",1,9,1,0,"SW","Tail lost","Cold","Control",1
"74",2885,"B_23",NA,"E548_23","EG2885","CL797_24","E031","27/11/2023","15/1/2024",NA,"ALIVE",0,"",2,"N",1,7,1,0,"NW","","Cold","CORT",1
"75",2851,"B_23",NA,"E667_23","EG2851","CL786_24","E004_F120","24/11/2023","17/1/2024",NA,"ALIVE",0,"",4,"N",1,7,1,0,"S","","Cold","CORT",1
"76",2950,"B_28",NA,"E269_23","EG2950","CL813_24","E036_F120","1/12/2023","1/1/2024",NA,"ALIVE",0,"",4,"P",1,5,1,0,"S","","Hot","CORT",1
"77",3038,"A_23",NA,"E133_23","EG3038","CL833_24","E008_F120","4/12/2023","19/1/2024",NA,"ALIVE",0,"",2,"Q",1,4,1,0,"NW","","Cold","Control",1
"78",2928,"A_23",NA,"E1025_23","EG2928","CL808_24","E013_M","29/11/2023","19/1/2024",NA,"ALIVE",0,"",2,"S",1,2,1,0,"NW","","Cold","Control",1
"79",2982,"A_28",NA,"E078_23","EG2982","CL820_24","E050_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"",3,"S",1,2,1,0,"SW","","Hot","Control",1
"80",3103,"B_23",NA,"E2001_23","EG3103","CL851_24","E012_M","8/12/2023","26/1/2024",NA,"ALIVE",0,"",4,"T",1,1,1,0,"S","","Cold","CORT",1
"81",2960,"B_23",NA,"E387_23","EG2960","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",3,"E",1,16,1,0,"SW","","Cold","CORT",1
"82",3098,"A_28",NA,"E185_23","EG3098","CL850_24","E028_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",4,"E",1,16,1,0,"S","","Hot","Control",1
"83",3178,"A_28",NA,"E779_23","EG3178","CL869_24","E053_F120","15/12/2023","12/1/2024",NA,"ALIVE",0,"",2,"I",1,12,1,0,"NW","","Hot","Control",1
"84",3157,"B_28",NA,"E701_23","EG3157","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",3,"I",1,12,1,0,"SW","","Hot","CORT",1
