"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","start_date","age","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort"
"37",3024,"A_28","f","E540_23","EG3024","CL830_24","E015_M","4/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",1,"N",1,14,0,20,"NW","","Hot","Control"
"38",3025,"A_23","m","E098_23","EG3025","CL830_24","E015_M","4/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",4,"K",1,11,0,3,"NE","","Cold","Control"
"39",3029,"A_28","m","E773_23","EG3029","CL831_24","E033_F120","4/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",2,"B",1,2,0,2,"N","","Hot","Control"
"40",3031,"A_23","f","E720_23","EG3031","CL831_24","E033_F120","4/12/2023","22/1/2024","17/3/2024",55,NA,"ALIVE",0,"",4,"Q",1,17,0,7,"SE","","Cold","Control"
"41",3033,"A_28","f","E095_23","EG3033","CL831_24","E033_F120","4/12/2023","3/1/2024","17/3/2024",74,NA,"ALIVE",0,"",1,"S",1,19,0,2,"NW","","Hot","Control"
"42",3034,"B_23","f","E1021_23","EG3034","CL831_24","E033_F120","4/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"Dented/dessicated",1,"O",1,15,0,12,"SW","","Cold","CORT"
"43",3038,"A_23","f","E133_23","EG3038","CL833_24","E008_F120","4/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",2,"Q",1,17,0,5,"N","","Cold","Control"
"44",3039,"B_23","f","E617_23","EG3039","CL833_24","E008_F120","4/12/2023","22/1/2024","17/3/2024",55,NA,"ALIVE",0,"",1,"B",1,2,0,10,"N","","Cold","CORT"
"45",3040,"A_28","f","E477_23","EG3040","CL833_24","E008_F120","4/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",3,"N",1,14,0,3,"N","","Hot","Control"
"46",3041,"B_28","m","E198_23","EG3041","CL833_24","E008_F120","4/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",4,"M",1,13,0,8,"SE","","Hot","CORT"
"47",3042,"A_23","f","E1101_23","EG3042","CL834_24","E027_F120","6/12/2023","24/1/2024","17/3/2024",53,NA,"ALIVE",0,"",4,"B",1,2,0,7,"NW","","Cold","Control"
"48",3051,"B_28","f","E296_23","EG3051","CL836_24","E008_F120","6/12/2023","5/1/2024","17/3/2024",72,NA,"ALIVE",0,"",3,"C",1,3,1,0,"SW","","Hot","CORT"
