experiment,plate,specimen,tube,tube.no,.no,n,min,median,max,geo.mean,arith.mean,sd,se,r.sd,r.se,comp
olfactory bulb,6,Specimen_060,OB,1,23,299,4.763737283123231,4.854470769127633,4.949012770636199,4.865205637279891,4.867796452220054,0.04739609573287726,0.002740986987922432,0.08067119512647247,0.004665335672120122,NA
olfactory bulb,6,Specimen_060,OB,1,23,299,3.111598524880394,3.5575072019056577,4.055607651708711,3.5346670594307144,3.594419899196999,0.23264298227087907,0.013454091046440665,0.41879182685877614,0.024219356685785058,NA
olfactory bulb,6,Specimen_060,OB,1,23,299,3.971832279924925,4.361954365353462,4.7708004821212935,4.35954909691846,4.387822500351958,0.15577287828097103,0.009008578150524518,0.25649337083233,0.014833394630269054,NA
olfactory bulb,6,Specimen_060,OB,1,23,299,4.745990616969223,4.8495364467625635,4.963665222162365,4.858229885039332,4.861600717948708,0.05399893966847391,0.0031228393120622602,0.09005938481300722,0.005208268700105572,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,1.0413926851582251,2.093421685162235,2.9132839017604186,2.1455857090147075,2.3887997374782572,0.48599247892971903,0.010389768943987127,0.9890781198852844,0.021144963304354742,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,1.4313637641589874,1.8750612633917,2.303196057420489,1.8755439184178648,1.9210441792270383,0.19988515101200607,0.00427323595402604,0.33921674459870294,0.007251930330431491,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,2.3201462861110542,2.4653828514484184,2.909020854211156,2.522020891327912,2.556564317372645,0.16726472113801716,0.0035758615214202785,0.24037791089786997,0.005138908649301056,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,4.622454821527202,4.831311181297606,4.999624648124973,4.825402757493416,4.832358620523602,0.07860131722033997,0.0016803748206368173,0.09033909998976812,0.0019313104959329526,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,1.568201724066995,1.8603276782758622,2.167317334748176,1.8751190141409546,1.899869996926262,0.14472712058811502,0.0030940424142994393,0.2295980376542596,0.004908451600884926,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,1.5797835966168101,2.292256071356476,2.9876662649262746,2.2387127878222333,2.3389115057387255,0.31191774321835686,0.006668319824013761,0.5002264707682438,0.01069406971563396,NA
olfactory bulb,6,Specimen_060,OB,2,24,2188,4.666463171110097,4.816446846370124,4.946831193845957,4.815185369633895,4.819031226815293,0.05804930851842778,0.0012410046019496268,0.08127781875788348,0.00173759429163469,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,2.9232440186302764,3.1640552918934515,3.367355921026019,3.1573440580369128,3.1670320195156254,0.09262822329102803,0.004972543562546179,0.12943717995064924,0.006948551888936797,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,1.7558748556724915,2.1072099696478683,2.4683473304121573,2.1196413015476887,2.1493788580526823,0.16064745976865039,0.0086240074950177,0.25959442383274106,0.013935758835044094,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,2.3201462861110542,2.383815365980431,2.550228353055094,2.395857697379826,2.3993744385156734,0.054567885371310534,0.0029293575703416316,0.08667230836711382,0.004652813297171965,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,4.84463213538695,4.922340593794148,4.9907174623281145,4.921733426099167,4.923119363528982,0.03481265057753516,0.001868841000875153,0.056408898436572624,0.0030281883299198425,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,1.8195439355418688,2.161368002234975,2.4913616938342726,2.1534217977132855,2.1792089643465076,0.15075971672216354,0.008093205636933467,0.25298800369940344,0.013581107620345848,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,2.3521825181113627,2.7442929831226763,3.104487111312395,2.732299724125767,2.765707194967997,0.17255870420415514,0.009263436599185998,0.286745057581372,0.015393281221516128,NA
olfactory bulb,6,Specimen_061,OB,1,27,347,4.827639461771797,4.909375899409007,4.992438288042301,4.912754922861253,4.914564249764608,0.03963468270076849,0.0021277012482258896,0.06696994709359809,0.003595135126990877,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,2.8175653695597807,3.1490617738270474,3.4154741681092355,3.1441277829173835,3.1622197418457563,0.1276507411208939,0.008981474803566305,0.19133284838542702,0.013462132235023964,NA
