plate,specimen,tube,tube.no,.no,ch,n,min,median,max,geo.mean,arith.mean,sd,se
1,Specimen_002,B10,B10,22,alexa.fluor.488,12944,0.954242509,2.099680652,2.972850567,2.063332394,2.26902318,0.452015892,0.003973008
1,Specimen_002,B10,B10,22,apc,12944,1.464191355,2.639964329,3.616118279,2.57520496,2.759643389,0.435692262,0.003829531
1,Specimen_002,B10,B10,22,buv.496,12944,2.21984641,2.660343644,3.20199764,2.683473759,2.749260327,0.235782664,0.002072419
1,Specimen_002,B10,B10,22,fsc,12944,1.226342091,2.707731866,3.875171293,2.631825801,2.897940304,0.534051098,0.004694059
1,Specimen_002,B10,B10,22,pe,12944,1.193681026,2.305867068,3.148059444,2.261351196,2.446164263,0.428104863,0.003762841
1,Specimen_002,B10,B10,22,percp.cy5.5,12944,1.45024912,2.918135233,3.968006355,2.834576976,3.078961769,0.519124986,0.004562866
1,Specimen_002,B10,B10,22,ssc,12944,1.697229336,2.615108,3.429978272,2.603222051,2.741534184,0.356704124,0.003135262
1,Specimen_002,B11,B11,23,alexa.fluor.488,10501,0.913813868,1.812913357,2.610873013,1.813354013,1.984211818,0.400492309,0.003908219
1,Specimen_002,B11,B11,23,apc,10501,1.209515009,2.444669221,3.472469755,2.37675668,2.606465422,0.487089972,0.004753285
1,Specimen_002,B11,B11,23,buv.496,10501,2.235149552,2.672282636,3.209354141,2.692886327,2.756154532,0.231000061,0.002254222
1,Specimen_002,B11,B11,23,fsc,10501,1.06295785,2.399915915,3.533161762,2.378815474,2.667802088,0.540514953,0.005274635
1,Specimen_002,B11,B11,23,pe,10501,1.11527759,2.090328617,2.903057415,2.08142586,2.261022624,0.416341875,0.004062887
1,Specimen_002,B11,B11,23,percp.cy5.5,10501,1.230448921,2.657629437,3.7071101,2.60105387,2.878931432,0.548783179,0.00535532
1,Specimen_002,B11,B11,23,ssc,10501,1.58658733,2.485437507,3.317770943,2.461803924,2.600846967,0.361706427,0.003529725
1,Specimen_002,B12,B12,24,alexa.fluor.488,12069,0.954242509,1.945468608,2.761777528,1.934855271,2.121997943,0.425171278,0.003870154
1,Specimen_002,B12,B12,24,apc,12069,1.390228353,2.547627051,3.487121383,2.49113683,2.683409182,0.442927323,0.00403178
1,Specimen_002,B12,B12,24,buv.496,12069,2.228656966,2.673067025,3.220382718,2.693522195,2.757708787,0.233094764,0.002121763
1,Specimen_002,B12,B12,24,fsc,12069,1.226342091,2.585596102,3.687630624,2.545753444,2.819054195,0.531035722,0.004833793
1,Specimen_002,B12,B12,24,pe,12069,1.169086364,2.229323402,3.05709529,2.205966295,2.389455136,0.424881092,0.003867513
1,Specimen_002,B12,B12,24,percp.cy5.5,12069,1.411619725,2.825945135,3.880779299,2.774352755,3.031316436,0.525330055,0.004781857
1,Specimen_002,B12,B12,24,ssc,12069,1.697229336,2.593507603,3.402948829,2.57838513,2.71340663,0.353890427,0.003221315
1,Specimen_002,B2,B02,14,alexa.fluor.488,7144,0.913813868,1.683047045,2.498861681,1.684089442,1.827574042,0.359140597,0.004249069
1,Specimen_002,B2,B02,14,apc,7144,1.005180508,2.295478326,3.548109213,2.243068153,2.545636715,0.557645464,0.006597622
1,Specimen_002,B2,B02,14,buv.496,7144,2.237292368,2.650550349,3.120080134,2.663253344,2.71758421,0.215726799,0.00255231
1,Specimen_002,B2,B02,14,fsc,7144,1.109915867,2.170789614,3.240409469,2.174359157,2.411204413,0.469453094,0.0055542
1,Specimen_002,B2,B02,14,pe,7144,1.11527759,1.935204864,2.746852093,1.943889715,2.095938137,0.370020504,0.004377791
